Cancer type;Period;Sex;Age range;Number
Head and neck;2005;Female;0-14;1
Head and neck;2005;Female;75+;183
Head and neck;2005;Female;45-59;286
Head and neck;2005;Female;60-74;294
Respiratory tract;2001;Male and Female;0-14;1
Respiratory tract;2001;Male and Female;45-59;2084
Respiratory tract;2001;Male and Female;75+;2399
Respiratory tract;2001;Male and Female;30-44;265
Respiratory tract;2001;Male and Female;60-74;4671
Respiratory tract;2001;Male and Female;15-29;5
Respiratory tract;2001;Male and Female;All ages;9425
Respiratory tract;2002;Male and Female;0-14;1
Respiratory tract;2002;Male and Female;45-59;2096
Respiratory tract;2002;Male and Female;30-44;253
Respiratory tract;2002;Male and Female;75+;2567
Respiratory tract;2002;Male and Female;60-74;4802
Respiratory tract;2002;Male and Female;15-29;6
Respiratory tract;2002;Male and Female;All ages;9725
Respiratory tract;2003;Male and Female;All ages;10018
Respiratory tract;2003;Male and Female;15-29;12
Respiratory tract;2003;Male and Female;0-14;2
Respiratory tract;2003;Male and Female;45-59;2260
Respiratory tract;2003;Male and Female;30-44;257
Respiratory tract;2003;Male and Female;75+;2726
Respiratory tract;2003;Male and Female;60-74;4761
Respiratory tract;2004;Male and Female;0-14;1
Respiratory tract;2004;Male and Female;All ages;10456
Respiratory tract;2004;Male and Female;45-59;2403
Respiratory tract;2004;Male and Female;30-44;274
Respiratory tract;2004;Male and Female;75+;2834
Respiratory tract;2004;Male and Female;60-74;4937
Respiratory tract;2004;Male and Female;15-29;7
Respiratory tract;2005;Male and Female;0-14;1
Respiratory tract;2005;Male and Female;All ages;10577
Respiratory tract;2005;Male and Female;15-29;11
Respiratory tract;2005;Male and Female;45-59;2309
Respiratory tract;2005;Male and Female;30-44;236
Respiratory tract;2005;Male and Female;75+;2891
Respiratory tract;2005;Male and Female;60-74;5129
Respiratory tract;2006;Male and Female;0-14;1
Respiratory tract;2006;Male and Female;15-29;10
Head and neck;2005;Female;30-44;38
Head and neck;2005;Female;15-29;6
Head and neck;2005;Female;All ages;808
Head and neck;2006;Female;0-14;0
Head and neck;2006;Female;15-29;12
Head and neck;2006;Female;75+;210
Head and neck;2006;Female;45-59;267
Head and neck;2006;Female;30-44;34
Head and neck;2006;Female;60-74;341
Head and neck;2006;Female;All ages;864
Head and neck;2007;Female;0-14;0
Head and neck;2007;Female;75+;234
Head and neck;2007;Female;45-59;271
Head and neck;2007;Female;60-74;319
Head and neck;2007;Female;30-44;53
Head and neck;2007;Female;All ages;886
Head and neck;2007;Female;15-29;9
Head and neck;2008;Female;15-29;16
Head and neck;2008;Female;75+;215
Head and neck;2008;Female;45-59;262
Head and neck;2008;Female;0-14;3
Head and neck;2008;Female;60-74;361
Head and neck;2008;Female;30-44;50
Head and neck;2008;Female;All ages;907
Head and neck;2009;Female;0-14;1
Head and neck;2009;Female;15-29;10
Head and neck;2009;Female;75+;242
Head and neck;2009;Female;45-59;271
Head and neck;2009;Female;60-74;393
Head and neck;2009;Female;30-44;50
Head and neck;2009;Female;All ages;967
Head and neck;2010;Female;0-14;2
Head and neck;2010;Female;75+;224
Head and neck;2010;Female;45-59;289
Head and neck;2010;Female;30-44;40
Head and neck;2010;Female;60-74;406
Head and neck;2010;Female;15-29;7
Respiratory tract;2006;Male and Female;All ages;11188
Respiratory tract;2006;Male and Female;45-59;2435
Respiratory tract;2006;Male and Female;30-44;251
Respiratory tract;2006;Male and Female;75+;3217
Respiratory tract;2006;Male and Female;60-74;5274
Respiratory tract;2007;Male and Female;0-14;0
Respiratory tract;2007;Male and Female;15-29;11
Respiratory tract;2007;Male and Female;All ages;11407
Respiratory tract;2007;Male and Female;30-44;233
Respiratory tract;2007;Male and Female;45-59;2408
Respiratory tract;2007;Male and Female;75+;3306
Respiratory tract;2007;Male and Female;60-74;5449
Respiratory tract;2008;Male and Female;0-14;0
Respiratory tract;2008;Male and Female;All ages;11805
Respiratory tract;2008;Male and Female;15-29;14
Respiratory tract;2008;Male and Female;30-44;216
Respiratory tract;2008;Male and Female;45-59;2428
Respiratory tract;2008;Male and Female;75+;3454
Respiratory tract;2008;Male and Female;60-74;5693
Respiratory tract;2009;Male and Female;All ages;12066
Respiratory tract;2009;Male and Female;15-29;15
Respiratory tract;2009;Male and Female;30-44;235
Respiratory tract;2009;Male and Female;45-59;2372
Respiratory tract;2009;Male and Female;0-14;3
Respiratory tract;2009;Male and Female;75+;3642
Respiratory tract;2009;Male and Female;60-74;5799
Respiratory tract;2010;Male and Female;All ages;12526
Respiratory tract;2010;Male and Female;0-14;2
Respiratory tract;2010;Male and Female;30-44;216
Respiratory tract;2010;Male and Female;45-59;2347
Respiratory tract;2010;Male and Female;75+;3890
Respiratory tract;2010;Male and Female;60-74;6063
Respiratory tract;2010;Male and Female;15-29;8
Respiratory tract;2011;Male and Female;All ages;12847
Respiratory tract;2011;Male and Female;15-29;16
Respiratory tract;2011;Male and Female;0-14;2
Respiratory tract;2011;Male and Female;30-44;208
Head and neck;2010;Female;All ages;968
Head and neck;2011;Female;All ages;1018
Head and neck;2011;Female;75+;250
Head and neck;2011;Female;45-59;265
Head and neck;2011;Female;0-14;3
Head and neck;2011;Female;60-74;443
Head and neck;2011;Female;30-44;48
Head and neck;2011;Female;15-29;9
Head and neck;2012;Female;All ages;1025
Head and neck;2012;Female;15-29;15
Head and neck;2012;Female;0-14;2
Head and neck;2012;Female;45-59;226
Head and neck;2012;Female;75+;272
Head and neck;2012;Female;60-74;458
Head and neck;2012;Female;30-44;52
Head and neck;2013;Female;0-14;0
Head and neck;2013;Female;15-29;10
Head and neck;2013;Female;All ages;1046
Head and neck;2013;Female;45-59;258
Head and neck;2013;Female;75+;270
Head and neck;2013;Female;30-44;30
Head and neck;2013;Female;60-74;478
Head and neck;2014;Female;0-14;0
Head and neck;2014;Female;All ages;1071
Head and neck;2014;Female;45-59;274
Head and neck;2014;Female;75+;294
Head and neck;2014;Female;30-44;36
Head and neck;2014;Female;60-74;459
Head and neck;2014;Female;15-29;8
Head and neck;2015;Female;0-14;1
Head and neck;2015;Female;All ages;1038
Head and neck;2015;Female;75+;264
Head and neck;2015;Female;45-59;268
Head and neck;2015;Female;30-44;27
Head and neck;2015;Female;60-74;470
Head and neck;2015;Female;15-29;8
Head and neck;2016;Female;0-14;0
Respiratory tract;2011;Male and Female;45-59;2439
Respiratory tract;2011;Male and Female;75+;4026
Respiratory tract;2011;Male and Female;60-74;6156
Respiratory tract;2012;Male and Female;0-14;1
Respiratory tract;2012;Male and Female;15-29;10
Respiratory tract;2012;Male and Female;All ages;12734
Respiratory tract;2012;Male and Female;30-44;201
Respiratory tract;2012;Male and Female;45-59;2371
Respiratory tract;2012;Male and Female;75+;3940
Respiratory tract;2012;Male and Female;60-74;6211
Respiratory tract;2013;Male and Female;0-14;1
Respiratory tract;2013;Male and Female;All ages;13049
Respiratory tract;2013;Male and Female;15-29;14
Respiratory tract;2013;Male and Female;30-44;190
Respiratory tract;2013;Male and Female;45-59;2394
Respiratory tract;2013;Male and Female;75+;4059
Respiratory tract;2013;Male and Female;60-74;6391
Respiratory tract;2014;Male and Female;0-14;1
Respiratory tract;2014;Male and Female;All ages;13045
Respiratory tract;2014;Male and Female;30-44;194
Respiratory tract;2014;Male and Female;45-59;2263
Respiratory tract;2014;Male and Female;75+;3958
Respiratory tract;2014;Male and Female;60-74;6622
Respiratory tract;2014;Male and Female;15-29;7
Respiratory tract;2015;Male and Female;0-14;1
Respiratory tract;2015;Male and Female;15-29;10
Respiratory tract;2015;Male and Female;All ages;13942
Respiratory tract;2015;Male and Female;30-44;169
Respiratory tract;2015;Male and Female;45-59;2287
Respiratory tract;2015;Male and Female;75+;4418
Respiratory tract;2015;Male and Female;60-74;7057
Respiratory tract;2016;Male and Female;15-29;11
Respiratory tract;2016;Male and Female;All ages;14014
Respiratory tract;2016;Male and Female;30-44;191
Respiratory tract;2016;Male and Female;45-59;2296
Respiratory tract;2016;Male and Female;0-14;4
Respiratory tract;2016;Male and Female;75+;4396
Head and neck;2016;Female;All ages;1043
Head and neck;2016;Female;45-59;205
Head and neck;2016;Female;30-44;29
Head and neck;2016;Female;75+;298
Head and neck;2016;Female;15-29;5
Head and neck;2016;Female;60-74;506
Head and neck;2017;Female;0-14;0
Head and neck;2017;Female;All ages;1062
Head and neck;2017;Female;15-29;12
Head and neck;2017;Female;45-59;224
Head and neck;2017;Female;75+;283
Head and neck;2017;Female;30-44;38
Head and neck;2017;Female;60-74;505
Head and neck;2018*;Female;All ages;1086
Head and neck;2018*;Female;15-29;14
Head and neck;2018*;Female;0-14;2
Head and neck;2018*;Female;45-59;249
Head and neck;2018*;Female;75+;284
Head and neck;2018*;Female;30-44;30
Head and neck;2018*;Female;60-74;507
Head and neck;2019*;Female;15-29;11
Head and neck;2019*;Female;45-59;196
Head and neck;2019*;Female;75+;260
Head and neck;2019*;Female;0-14;3
Head and neck;2019*;Female;30-44;36
Head and neck;2019*;Female;60-74;436
Head and neck;2019*;Female;All ages;942
Head and neck;1989;Male and Female;30-44;140
Head and neck;1989;Male and Female;15-29;17
Head and neck;1989;Male and Female;All ages;1935
Head and neck;1989;Male and Female;0-14;3
Head and neck;1989;Male and Female;75+;377
Head and neck;1989;Male and Female;45-59;546
Head and neck;1989;Male and Female;60-74;852
Head and neck;1990;Male and Female;0-14;1
Head and neck;1990;Male and Female;30-44;143
Head and neck;1990;Male and Female;15-29;17
Respiratory tract;2016;Male and Female;60-74;7116
Respiratory tract;2017;Male and Female;All ages;13947
Respiratory tract;2017;Male and Female;15-29;15
Respiratory tract;2017;Male and Female;30-44;163
Respiratory tract;2017;Male and Female;45-59;2163
Respiratory tract;2017;Male and Female;75+;4457
Respiratory tract;2017;Male and Female;0-14;5
Respiratory tract;2017;Male and Female;60-74;7144
Respiratory tract;2018*;Male and Female;0-14;1
Respiratory tract;2018*;Male and Female;15-29;12
Respiratory tract;2018*;Male and Female;All ages;14455
Respiratory tract;2018*;Male and Female;30-44;168
Respiratory tract;2018*;Male and Female;45-59;2213
Respiratory tract;2018*;Male and Female;75+;4620
Respiratory tract;2018*;Male and Female;60-74;7441
Respiratory tract;2019*;Male and Female;0-14;0
Respiratory tract;2019*;Male and Female;All ages;14453
Respiratory tract;2019*;Male and Female;30-44;152
Respiratory tract;2019*;Male and Female;15-29;19
Respiratory tract;2019*;Male and Female;45-59;2168
Respiratory tract;2019*;Male and Female;75+;4631
Respiratory tract;2019*;Male and Female;60-74;7483
Head and neck;1990;Male and Female;All ages;2076
Head and neck;1990;Male and Female;75+;409
Head and neck;1990;Male and Female;45-59;606
Head and neck;1990;Male and Female;60-74;900
Head and neck;1991;Male and Female;0-14;0
Head and neck;1991;Male and Female;15-29;11
Head and neck;1991;Male and Female;30-44;135
Head and neck;1991;Male and Female;All ages;2026
Head and neck;1991;Male and Female;75+;404
Head and neck;1991;Male and Female;45-59;594
Head and neck;1991;Male and Female;60-74;882
Head and neck;1992;Male and Female;30-44;162
Head and neck;1992;Male and Female;15-29;20
Head and neck;1992;Male and Female;All ages;2152
Head and neck;1992;Male and Female;0-14;3
Head and neck;1992;Male and Female;75+;434
Head and neck;1992;Male and Female;45-59;652
Head and neck;1992;Male and Female;60-74;881
Head and neck;1993;Male and Female;0-14;1
Head and neck;1993;Male and Female;30-44;130
Head and neck;1993;Male and Female;15-29;18
Head and neck;1993;Male and Female;All ages;2074
Head and neck;1993;Male and Female;75+;400
Head and neck;1993;Male and Female;45-59;603
Head and neck;1993;Male and Female;60-74;922
Head and neck;1994;Male and Female;30-44;148
Head and neck;1994;Male and Female;0-14;2
Head and neck;1994;Male and Female;All ages;2141
Head and neck;1994;Male and Female;75+;408
Head and neck;1994;Male and Female;45-59;674
Head and neck;1994;Male and Female;15-29;9
Head and neck;1994;Male and Female;60-74;900
Head and neck;1995;Male and Female;0-14;1
Head and neck;1995;Male and Female;30-44;157
Head and neck;1995;Male and Female;All ages;2234
Head and neck;1995;Male and Female;75+;430
Head and neck;1995;Male and Female;45-59;680
All cancers;2009;Male;15-29;648
All cancers;2009;Male;45-59;8138
All cancers;2010;Male;75+;16316
All cancers;2010;Male;30-44;1769
All cancers;2010;Male;60-74;23559
All cancers;2010;Male;0-14;240
All cancers;2010;Male;All ages;50757
All cancers;2010;Male;15-29;610
All cancers;2010;Male;45-59;8263
All cancers;2011;Male;75+;16933
All cancers;2011;Male;30-44;1899
All cancers;2011;Male;0-14;222
All cancers;2011;Male;60-74;25064
All cancers;2011;Male;All ages;53303
All cancers;2011;Male;15-29;633
All cancers;2011;Male;45-59;8552
All cancers;2012;Male;75+;16912
All cancers;2012;Male;30-44;1760
All cancers;2012;Male;0-14;214
All cancers;2012;Male;60-74;25344
All cancers;2012;Male;All ages;53184
All cancers;2012;Male;15-29;627
All cancers;2012;Male;45-59;8327
All cancers;2013;Male;75+;16762
All cancers;2013;Male;30-44;1736
All cancers;2013;Male;0-14;245
All cancers;2013;Male;60-74;25510
All cancers;2013;Male;All ages;53486
All cancers;2013;Male;15-29;670
All cancers;2013;Male;45-59;8563
All cancers;2014;Male;30-44;1700
All cancers;2014;Male;75+;17508
All cancers;2014;Male;0-14;244
All cancers;2014;Male;60-74;25620
All cancers;2014;Male;All ages;53867
All cancers;2014;Male;15-29;701
Head and neck;1995;Male and Female;15-29;9
Head and neck;1995;Male and Female;60-74;957
Head and neck;1996;Male and Female;30-44;146
Head and neck;1996;Male and Female;All ages;2359
Head and neck;1996;Male and Female;15-29;24
Head and neck;1996;Male and Female;75+;454
Head and neck;1996;Male and Female;0-14;6
Head and neck;1996;Male and Female;45-59;765
Head and neck;1996;Male and Female;60-74;964
Head and neck;1997;Male and Female;0-14;1
Head and neck;1997;Male and Female;30-44;120
Head and neck;1997;Male and Female;15-29;17
Head and neck;1997;Male and Female;All ages;2361
Head and neck;1997;Male and Female;75+;473
Head and neck;1997;Male and Female;45-59;787
Head and neck;1997;Male and Female;60-74;963
Head and neck;1998;Male and Female;0-14;0
Head and neck;1998;Male and Female;30-44;134
Head and neck;1998;Male and Female;15-29;15
Head and neck;1998;Male and Female;All ages;2309
Head and neck;1998;Male and Female;75+;465
Head and neck;1998;Male and Female;45-59;749
Head and neck;1998;Male and Female;60-74;946
Head and neck;1999;Male and Female;30-44;108
Head and neck;1999;Male and Female;15-29;22
Head and neck;1999;Male and Female;All ages;2386
Head and neck;1999;Male and Female;0-14;3
Head and neck;1999;Male and Female;75+;480
Head and neck;1999;Male and Female;45-59;780
Head and neck;1999;Male and Female;60-74;993
Head and neck;2000;Male and Female;0-14;1
Head and neck;2000;Male and Female;60-74;1009
Head and neck;2000;Male and Female;30-44;123
Head and neck;2000;Male and Female;15-29;19
Head and neck;2000;Male and Female;All ages;2463
Head and neck;2000;Male and Female;75+;464
Head and neck;2000;Male and Female;45-59;847
Head and neck;2001;Male and Female;30-44;144
Head and neck;2001;Male and Female;All ages;2472
Head and neck;2001;Male and Female;15-29;26
Head and neck;2001;Male and Female;75+;506
Head and neck;2001;Male and Female;0-14;8
Head and neck;2001;Male and Female;45-59;808
Head and neck;2001;Male and Female;60-74;980
Head and neck;2002;Male and Female;30-44;128
Head and neck;2002;Male and Female;15-29;16
Head and neck;2002;Male and Female;All ages;2384
Head and neck;2002;Male and Female;75+;437
Head and neck;2002;Male and Female;0-14;5
Head and neck;2002;Male and Female;45-59;866
Head and neck;2002;Male and Female;60-74;932
Head and neck;2003;Male and Female;60-74;1008
Head and neck;2003;Male and Female;15-29;14
Head and neck;2003;Male and Female;30-44;144
Head and neck;2003;Male and Female;0-14;2
Head and neck;2003;Male and Female;All ages;2538
Head and neck;2003;Male and Female;75+;507
Head and neck;2003;Male and Female;45-59;863
Head and neck;2004;Male and Female;30-44;153
Head and neck;2004;Male and Female;15-29;20
Head and neck;2004;Male and Female;All ages;2571
Head and neck;2004;Male and Female;0-14;3
Head and neck;2004;Male and Female;75+;514
Head and neck;2004;Male and Female;45-59;886
Head and neck;2004;Male and Female;60-74;995
Head and neck;2005;Male and Female;0-14;1
Head and neck;2005;Male and Female;60-74;1115
Head and neck;2005;Male and Female;30-44;119
Head and neck;2005;Male and Female;15-29;15
Head and neck;2005;Male and Female;All ages;2681
Head and neck;2005;Male and Female;75+;529
Head and neck;2005;Male and Female;45-59;902
Head and neck;2006;Male and Female;30-44;109
Head and neck;2006;Male and Female;60-74;1140
Head and neck;2006;Male and Female;15-29;18
Head and neck;2006;Male and Female;0-14;2
Head and neck;2006;Male and Female;All ages;2667
Head and neck;2006;Male and Female;75+;571
Head and neck;2006;Male and Female;45-59;827
Head and neck;2007;Male and Female;60-74;1112
Head and neck;2007;Male and Female;30-44;133
Head and neck;2007;Male and Female;0-14;2
Head and neck;2007;Male and Female;15-29;20
Head and neck;2007;Male and Female;All ages;2666
Head and neck;2007;Male and Female;75+;590
Head and neck;2007;Male and Female;45-59;809
Head and neck;2008;Male and Female;60-74;1292
Head and neck;2008;Male and Female;30-44;134
Head and neck;2008;Male and Female;15-29;26
Head and neck;2008;Male and Female;All ages;2886
Head and neck;2008;Male and Female;0-14;5
Head and neck;2008;Male and Female;75+;574
Head and neck;2008;Male and Female;45-59;855
Head and neck;2009;Male and Female;30-44;114
Head and neck;2009;Male and Female;60-74;1295
Head and neck;2009;Male and Female;0-14;2
Head and neck;2009;Male and Female;15-29;24
Head and neck;2009;Male and Female;All ages;2931
Head and neck;2009;Male and Female;75+;615
Head and neck;2009;Male and Female;45-59;881
Head and neck;2010;Male and Female;30-44;125
Head and neck;2010;Male and Female;60-74;1349
Head and neck;2010;Male and Female;15-29;17
Head and neck;2010;Male and Female;0-14;2
Head and neck;2010;Male and Female;All ages;2929
Head and neck;2010;Male and Female;75+;603
Head and neck;2010;Male and Female;45-59;833
Head and neck;2011;Male and Female;30-44;134
Head and neck;2011;Male and Female;60-74;1426
Head and neck;2011;Male and Female;15-29;19
Head and neck;2011;Male and Female;0-14;3
Head and neck;2011;Male and Female;All ages;3111
Head and neck;2011;Male and Female;75+;682
Head and neck;2011;Male and Female;45-59;847
Head and neck;2012;Male and Female;30-44;109
Head and neck;2012;Male and Female;60-74;1444
Head and neck;2012;Male and Female;15-29;18
Head and neck;2012;Male and Female;0-14;2
Head and neck;2012;Male and Female;All ages;3056
Head and neck;2012;Male and Female;75+;668
Head and neck;2012;Male and Female;45-59;815
Head and neck;2013;Male and Female;0-14;0
Head and neck;2013;Male and Female;60-74;1466
Head and neck;2013;Male and Female;15-29;25
Head and neck;2013;Male and Female;All ages;3031
Head and neck;2013;Male and Female;75+;655
Head and neck;2013;Male and Female;45-59;792
Head and neck;2013;Male and Female;30-44;93
Head and neck;2014;Male and Female;0-14;0
Head and neck;2014;Male and Female;60-74;1465
Head and neck;2014;Male and Female;15-29;20
Head and neck;2014;Male and Female;All ages;3097
Head and neck;2014;Male and Female;75+;722
Head and neck;2014;Male and Female;45-59;795
Head and neck;2014;Male and Female;30-44;95
Head and neck;2015;Male and Female;60-74;1508
Head and neck;2015;Male and Female;0-14;2
Head and neck;2015;Male and Female;15-29;21
Head and neck;2015;Male and Female;All ages;3085
Head and neck;2015;Male and Female;75+;698
Head and neck;2015;Male and Female;45-59;768
Head and neck;2015;Male and Female;30-44;88
Head and neck;2016;Male and Female;0-14;0
Head and neck;2016;Male and Female;15-29;14
Head and neck;2016;Male and Female;60-74;1616
Head and neck;2016;Male and Female;All ages;3150
Head and neck;2016;Male and Female;45-59;711
Head and neck;2016;Male and Female;75+;735
Head and neck;2016;Male and Female;30-44;74
Head and neck;2017;Male and Female;0-14;1
Head and neck;2017;Male and Female;60-74;1562
Head and neck;2017;Male and Female;15-29;20
Head and neck;2017;Male and Female;All ages;3117
Head and neck;2017;Male and Female;45-59;692
Head and neck;2017;Male and Female;75+;749
Head and neck;2017;Male and Female;30-44;93
Head and neck;2018*;Male and Female;60-74;1592
Head and neck;2018*;Male and Female;15-29;21
Head and neck;2018*;Male and Female;0-14;3
Head and neck;2018*;Male and Female;All ages;3160
Head and neck;2018*;Male and Female;45-59;730
Head and neck;2018*;Male and Female;30-44;74
Head and neck;2018*;Male and Female;75+;740
Head and neck;2019*;Male and Female;60-74;1429
Head and neck;2019*;Male and Female;15-29;23
Head and neck;2019*;Male and Female;All ages;2839
Head and neck;2019*;Male and Female;45-59;621
Head and neck;2019*;Male and Female;75+;668
Head and neck;2019*;Male and Female;0-14;7
Head and neck;2019*;Male and Female;30-44;91
All cancers;2014;Male;45-59;8094
All cancers;2015;Male;30-44;1718
All cancers;2015;Male;75+;17714
All cancers;2015;Male;0-14;244
All cancers;2015;Male;60-74;27544
All cancers;2015;Male;All ages;55968
All cancers;2015;Male;15-29;632
All cancers;2015;Male;45-59;8116
All cancers;2016;Male;30-44;1650
All cancers;2016;Male;75+;18746
All cancers;2016;Male;0-14;225
All cancers;2016;Male;60-74;28301
All cancers;2016;Male;All ages;58257
All cancers;2016;Male;15-29;676
All cancers;2016;Male;45-59;8659
All cancers;2017;Male;30-44;1634
All cancers;2017;Male;75+;19489
All cancers;2017;Male;0-14;236
All cancers;2017;Male;60-74;28051
All cancers;2017;Male;All ages;58692
All cancers;2017;Male;15-29;672
All cancers;2017;Male;45-59;8610
All cancers;2018*;Male;30-44;1751
All cancers;2018*;Male;75+;20598
All cancers;2018*;Male;0-14;217
All cancers;2018*;Male;60-74;27713
All cancers;2018*;Male;All ages;59874
All cancers;2018*;Male;15-29;700
All cancers;2018*;Male;45-59;8895
All cancers;2019*;Male;30-44;1758
All cancers;2019*;Male;75+;21162
All cancers;2019*;Male;0-14;266
All cancers;2019*;Male;60-74;28710
All cancers;2019*;Male;All ages;61404
All cancers;2019*;Male;15-29;733
All cancers;2019*;Male;45-59;8775
All cancers;1989;Female;0-14;177
All cancers;1989;Female;All ages;25917
All cancers;1989;Female;30-44;2755
All cancers;1989;Female;15-29;544
All cancers;1989;Female;45-59;5580
All cancers;1989;Female;75+;7601
All cancers;1989;Female;60-74;9260
All cancers;1990;Female;0-14;152
All cancers;1990;Female;All ages;26783
All cancers;1990;Female;30-44;2775
All cancers;1990;Female;45-59;5699
All cancers;1990;Female;15-29;572
All cancers;1990;Female;75+;8012
All cancers;1990;Female;60-74;9573
All cancers;1991;Female;0-14;139
All cancers;1991;Female;All ages;27552
All cancers;1991;Female;30-44;2822
All cancers;1991;Female;15-29;530
All cancers;1991;Female;45-59;5992
All cancers;1991;Female;75+;8121
All cancers;1991;Female;60-74;9948
All cancers;1992;Female;60-74;10453
All cancers;1992;Female;0-14;162
All cancers;1992;Female;30-44;2846
All cancers;1992;Female;All ages;29141
All cancers;1992;Female;15-29;540
All cancers;1992;Female;45-59;6497
All cancers;1992;Female;75+;8643
All cancers;1993;Female;60-74;10560
All cancers;1993;Female;0-14;166
All cancers;1993;Female;30-44;2754
All cancers;1993;Female;All ages;29545
All cancers;1993;Female;15-29;557
All cancers;1993;Female;45-59;6941
All cancers;1993;Female;75+;8567
All cancers;1994;Female;60-74;10815
All cancers;1994;Female;0-14;170
All cancers;1994;Female;30-44;2945
All cancers;1994;Female;All ages;30735
All cancers;1994;Female;15-29;533
All cancers;1994;Female;45-59;7215
All cancers;1994;Female;75+;9057
All cancers;1995;Female;60-74;10604
All cancers;1995;Female;0-14;166
All cancers;1995;Female;30-44;2884
All cancers;1995;Female;All ages;30384
All cancers;1995;Female;15-29;523
All cancers;1995;Female;45-59;7335
All cancers;1995;Female;75+;8872
All cancers;1996;Female;60-74;10610
All cancers;1996;Female;0-14;177
All cancers;1996;Female;30-44;3010
All cancers;1996;Female;All ages;31209
All cancers;1996;Female;15-29;568
All cancers;1996;Female;45-59;7615
All cancers;1996;Female;75+;9229
All cancers;1997;Female;60-74;10548
All cancers;1997;Female;0-14;168
All cancers;1997;Female;30-44;2971
All cancers;1997;Female;All ages;31725
All cancers;1997;Female;15-29;527
All cancers;1997;Female;45-59;8175
All cancers;1997;Female;75+;9336
All cancers;1998;Female;60-74;10824
All cancers;1998;Female;0-14;178
All cancers;1998;Female;30-44;3131
All cancers;1998;Female;All ages;32530
All cancers;1998;Female;15-29;545
All cancers;1998;Female;45-59;8199
All cancers;1998;Female;75+;9653
All cancers;1999;Female;60-74;11337
All cancers;1999;Female;0-14;155
All cancers;1999;Female;30-44;3289
All cancers;1999;Female;All ages;33764
All cancers;1999;Female;15-29;549
All cancers;1999;Female;45-59;8502
All cancers;1999;Female;75+;9932
All cancers;2000;Female;60-74;11529
All cancers;2000;Female;0-14;175
All cancers;2000;Female;30-44;3087
All cancers;2000;Female;All ages;34153
All cancers;2000;Female;15-29;506
All cancers;2000;Female;45-59;9010
All cancers;2000;Female;75+;9846
All cancers;2001;Female;75+;10213
All cancers;2001;Female;60-74;11624
All cancers;2001;Female;0-14;184
All cancers;2001;Female;30-44;3431
All cancers;2001;Female;All ages;35309
All cancers;2001;Female;15-29;531
All cancers;2001;Female;45-59;9326
All cancers;2002;Female;75+;10346
All cancers;2002;Female;60-74;11984
All cancers;2002;Female;0-14;186
All cancers;2002;Female;30-44;3340
All cancers;2002;Female;All ages;35953
All cancers;2002;Female;15-29;544
All cancers;2002;Female;45-59;9553
All cancers;2003;Female;45-59;10162
All cancers;2003;Female;75+;10815
All cancers;2003;Female;60-74;12276
All cancers;2003;Female;0-14;190
All cancers;2003;Female;30-44;3426
All cancers;2003;Female;All ages;37372
All cancers;2003;Female;15-29;503
All cancers;2004;Female;45-59;10402
All cancers;2004;Female;75+;11331
All cancers;2004;Female;60-74;12776
All cancers;2004;Female;0-14;188
All cancers;2004;Female;30-44;3496
All cancers;2004;Female;All ages;38676
All cancers;2004;Female;15-29;483
All cancers;2005;Female;45-59;10486
All cancers;2005;Female;75+;11805
All cancers;2005;Female;60-74;13247
All cancers;2005;Female;0-14;188
All cancers;2005;Female;30-44;3457
All cancers;2005;Female;All ages;39693
All cancers;2005;Female;15-29;510
All cancers;2006;Female;45-59;10879
All cancers;2006;Female;75+;12097
All cancers;2006;Female;60-74;13851
All cancers;2006;Female;0-14;184
All cancers;2006;Female;30-44;3434
All cancers;2006;Female;All ages;40973
All cancers;2006;Female;15-29;528
All cancers;2007;Female;45-59;10942
All cancers;2007;Female;75+;12403
All cancers;2007;Female;60-74;14680
All cancers;2007;Female;0-14;194
All cancers;2007;Female;30-44;3597
All cancers;2007;Female;All ages;42385
All cancers;2007;Female;15-29;569
All cancers;2008;Female;45-59;11096
All cancers;2008;Female;75+;13073
All cancers;2008;Female;60-74;15699
All cancers;2008;Female;0-14;215
All cancers;2008;Female;30-44;3464
All cancers;2008;Female;All ages;44165
All cancers;2008;Female;15-29;618
All cancers;2009;Female;45-59;11199
All cancers;2009;Female;75+;13346
All cancers;2009;Female;0-14;157
All cancers;2009;Female;60-74;16110
All cancers;2009;Female;30-44;3616
All cancers;2009;Female;All ages;45016
All cancers;2009;Female;15-29;588
All cancers;2010;Female;45-59;11302
All cancers;2010;Female;75+;13990
All cancers;2010;Female;60-74;17257
All cancers;2010;Female;0-14;204
All cancers;2010;Female;30-44;3301
All cancers;2010;Female;All ages;46624
All cancers;2010;Female;15-29;570
All cancers;2011;Female;45-59;11976
All cancers;2011;Female;75+;14474
All cancers;2011;Female;60-74;18133
All cancers;2011;Female;0-14;208
All cancers;2011;Female;30-44;3456
All cancers;2011;Female;All ages;48878
All cancers;2011;Female;15-29;631
All cancers;2012;Female;45-59;11706
All cancers;2012;Female;75+;14365
All cancers;2012;Female;60-74;18945
All cancers;2012;Female;0-14;193
All cancers;2012;Female;30-44;3300
All cancers;2012;Female;All ages;49110
All cancers;2012;Female;15-29;601
All cancers;2013;Female;45-59;11594
All cancers;2013;Female;75+;14336
All cancers;2013;Female;0-14;184
All cancers;2013;Female;60-74;19220
All cancers;2013;Female;30-44;3394
All cancers;2013;Female;All ages;49311
All cancers;2013;Female;15-29;583
