"X","Dilution","Content",".copy","Sample","Time","OD"
87,0.03125,"Elution",3,"Un_0087 1/1","550",0.418942
87,0.03125,"Elution",3,"Un_0087 1/1","560",0.430474
87,0.03125,"Elution",3,"Un_0087 1/1","570",0.442388
87,0.03125,"Elution",3,"Un_0087 1/1","580",0.451745
87,0.03125,"Elution",3,"Un_0087 1/1","590",0.460561
87,0.03125,"Elution",3,"Un_0087 1/1","600",0.468116
87,0.03125,"Elution",3,"Un_0087 1/1","610",0.475689
87,0.03125,"Elution",3,"Un_0087 1/1","620",0.482378
87,0.03125,"Elution",3,"Un_0087 1/1","630",0.49055
87,0.03125,"Elution",3,"Un_0087 1/1","640",0.495601
87,0.03125,"Elution",3,"Un_0087 1/1","650",0.501835
87,0.03125,"Elution",3,"Un_0087 1/1","660",0.507491
87,0.03125,"Elution",3,"Un_0087 1/1","670",0.512591
87,0.03125,"Elution",3,"Un_0087 1/1","680",0.517437
87,0.03125,"Elution",3,"Un_0087 1/1","690",0.520809
87,0.03125,"Elution",3,"Un_0087 1/1","700",0.524408
87,0.03125,"Elution",3,"Un_0087 1/1","710",0.526283
87,0.03125,"Elution",3,"Un_0087 1/1","720",0.528231
87,0.03125,"Elution",3,"Un_0087 1/1","730",0.529557
87,0.03125,"Elution",3,"Un_0087 1/1","740",0.530751
87,0.03125,"Elution",3,"Un_0087 1/1","750",0.531799
87,0.03125,"Elution",3,"Un_0087 1/1","760",0.533021
87,0.03125,"Elution",3,"Un_0087 1/1","770",0.531436
87,0.03125,"Elution",3,"Un_0087 1/1","780",0.532437
87,0.03125,"Elution",3,"Un_0087 1/1","790",0.532174
87,0.03125,"Elution",3,"Un_0087 1/1","800",0.531554
87,0.03125,"Elution",3,"Un_0087 1/1","810",0.532738
87,0.03125,"Elution",3,"Un_0087 1/1","820",0.530869
87,0.03125,"Elution",3,"Un_0087 1/1","830",0.530438
87,0.03125,"Elution",3,"Un_0087 1/1","840",0.531198
