temperature,sterol type,sterol conc,other phosph,tails,satur index,PC conc,ethanol conc,APL,thickness,bending,tilt,zorder,compress
298,chole,20,PE,DO,1.0,75,15,0.7415900000000001,3.6267527834659212,10.6097,14.7425,0.199129,30.705268337251812
298,chole,20,PE,DO,1.0,100,25,0.7677970000000001,3.5022823619217434,10.2294,13.3249,0.178353,24.708631875475042
298,chole,20,PE,DO,1.0,50,25,0.744063,3.601871217923211,10.4829,14.734,0.193291,25.421789197651947
298,chole,20,PE,DO,1.0,33,25,0.734337,3.636376979714985,10.6471,15.1755,0.198054,25.717320843097802
298,chole,20,PE,DO,1.0,67,25,0.752008,3.5613250573021595,10.2921,14.3945,0.187671,25.182199203262567
298,chole,20,PE,DO,1.0,25,25,0.729094,3.6585362275486126,10.6117,15.4552,0.201589,26.163497740354977
298,chole,20,PE,DO,1.0,0,25,0.716228,3.7163323868279505,10.581,16.4521,0.209312,26.943447825060066
298,chole,20,PE,DO,1.0,75,25,0.756495,3.544567907678129,10.1997,13.9897,0.185413,25.596896208669516
328,chole,20,PE,PO,0.5,75,15,0.753827,3.6390453262119316,10.4523,13.8613,0.210707,17.908537858290174
328,chole,20,PE,PO,0.5,100,15,0.7654810000000001,3.594933045195475,10.3363,13.2419,0.202299,17.126678699311444
328,chole,20,PE,PO,0.5,67,15,0.7502230000000001,3.6491857933429728,10.6697,14.014,0.211793,18.14907845615972
328,chole,20,PE,PO,0.5,0,15,0.716541,3.7850171473045577,11.4139,16.3721,0.235686,20.52529222890468
328,chole,20,PE,PO,0.5,25,15,0.7298330000000001,3.735578624773982,11.2025,15.4164,0.226038,19.66439547465272
328,chole,20,PE,PO,0.5,50,15,0.743005,3.688657360032245,10.7402,14.4542,0.217311,18.76421152326031
328,chole,20,PE,PO,0.5,33,15,0.733026,3.713154426033295,10.9604,15.2847,0.223475,19.014071642500852
298,chole,20,PE,DI,2.0,75,10,0.800379,3.3669081477193785,8.13015,11.2362,0.0648345,20.037742704978527
298,chole,20,PE,DI,2.0,100,10,0.81108,3.3390965762287195,8.03207,10.6913,0.0610702,21.79195195756814
298,chole,20,PE,DI,2.0,0,10,0.7580150000000001,3.5240668503944015,8.2394,12.9459,0.079169,18.611310627584928
298,chole,20,PE,DI,2.0,50,10,0.78714,3.413785974132871,8.0599,11.6429,0.0705605,21.23208252362808
298,chole,20,PE,DI,2.0,67,10,0.7964950000000001,3.38402463078825,8.18218,11.2935,0.0667444,20.178096599293557
298,chole,20,PE,DI,2.0,25,10,0.77208,3.466824220096374,7.99132,12.3662,0.0753147,19.17968669814482
298,chole,20,PE,DI,2.0,33,10,0.777779,3.448805403251537,7.9429,12.1153,0.0734393,19.01169345209828
298,chole,20,PE,DI,2.0,75,20,0.8230710000000001,3.2671383748042864,7.72348,10.294,0.055951,15.983298248625161
298,chole,20,PE,DI,2.0,100,20,0.836828,3.221920557739402,7.72836,9.81616,0.0524383,15.86283124648315
298,chole,20,PE,DI,2.0,0,20,0.770642,3.4717835227674954,7.65493,11.9376,0.0685623,15.155663658068292
298,chole,20,PE,DI,2.0,50,20,0.808012,3.3270615232618965,7.77353,10.5967,0.0598426,15.732704839120485
298,chole,20,PE,DI,2.0,67,20,0.818486,3.2851305118808654,7.68659,10.2839,0.0572609,16.45170469705275
298,chole,20,PE,DI,2.0,25,20,0.788382,3.391300554029364,7.81271,11.0802,0.0635074,15.381048079414766
298,chole,20,PE,DI,2.0,33,20,0.795977,3.3704818267850385,7.77614,10.9638,0.0623215,14.592024347455093
328,chole,20,PE,PO,0.5,75,25,0.773047,3.543635183443243,9.93121,12.6828,0.19596,14.96430043293501
328,chole,20,PE,PO,0.5,100,25,0.7851309999999999,3.489162711374693,9.8365,12.1622,0.189592,13.996611586645967
328,chole,20,PE,PO,0.5,67,25,0.7675660000000001,3.5566367148621865,9.92389,13.1163,0.197207,14.86264548351381
328,chole,20,PE,PO,0.5,0,25,0.72662,3.7265762080811236,10.6984,15.4264,0.219266,16.94368677889842
328,chole,20,PE,PO,0.5,25,25,0.74225,3.6623779963081127,10.5721,14.1921,0.210447,16.603753745339926
328,chole,20,PE,PO,0.5,50,25,0.757662,3.5998855647164376,9.93282,13.4,0.202231,15.34046842898199
328,chole,20,PE,PO,0.5,33,25,0.7461369999999999,3.64456922599976,10.2562,14.0037,0.208041,15.915136229728631
298,chole,20,PE,DP,0.0,67,0,0.533123,4.849869798816812,93.8161,152.264,0.847475,288.0166469239054
298,chole,20,PE,DP,0.0,67,0,0.595145,4.476187634139574,37.7099,54.9971,0.569538,53.6647815379428
298,chole,20,PE,DP,0.0,75,0,0.536571,4.843788397200562,87.2933,160.386,0.835892,250.20278448815552
298,chole,20,PE,DP,0.0,75,0,0.573022,4.6337572791226975,49.3711,100.939,0.672464,4.337647186725844
298,chole,20,PE,DP,0.0,100,0,0.534953,4.880581466079072,92.3204,152.008,0.843988,263.82485846073314
298,chole,20,PE,DP,0.0,100,0,0.6053860000000001,4.445640558312306,34.2249,47.9941,0.532192,56.76087060645848
298,chole,20,PE,DP,0.0,50,0,0.530781,4.8540838688166446,97.2161,165.134,0.856418,305.9905630116229
