AGE	GENDER	GROUP_SIZE_CAT	AGE_T1	AGE_T2	BMI_T1	WEIGHT_T1	HIP_T1	WAIST_T1	HEIGHT_T1	BMI_T2	WEIGHT_T2	HIP_T2	WAIST_T2	HEIGHT_T2	EDUCATION_LOWER_T1	EDUCATION_LOWER_T2	WORK_T1	WORK_T2	LOW_QUALITY_OF_LIFE_T1	LOW_QUALITY_OF_LIFE_T2	DBP_T1	DBP_T2	HBF_T1	HBF_T2	MAP_T1	MAP_T2	SBP_T1	SBP_T2	HTN_MED_T1	CHO_T1	GLU_T1	CHO_T2	GLU_T2	RESPIRATORY_DISEASE_T1	PACKYEARS	SMOKING	METABOLIC_DISORDER_T1	METABOLIC_DISORDER_T2	LLDS	Quintile_LLDS	MWK_VAL	SCOR_VAL	MWK_NO_VAL	SCOR_NO_VAL	PREGNANCIES	OSTEOARTHRITIS_T1	SLEEP_QUALITY	DIAG_CFS_CDC	DIAG_FIBROMYALGIA_ACR	DIAG_IBS_ROME3	C_SUM_T1	A_SUM_T1	SC_SUM_T1	I_SUM_T1	E_SUM_T1	SD_SUM_T1	V_SUM_T1	D_SUM_T1	LTE_SUM_T1	LDI_SUM_T1	LTE_SUM_T2	LDI_SUM_T2	NSES_YEAR	NSES	MENTAL_DISORDER_T1	MENTAL_DISORDER_T2
80	1	3	70,94	74,42	26,95	84,43	99,83	98,98	177,01	26,81	83,59	99,71	99,44	176,57	54,16	54,03	2,59	6,07	7,12	14,34	77,10	75,87	67,13	66,27	100,22	101,16	138,35	142,89	39,50	5,08	5,57	4,87	5,62	7,43	14,57	11,11	14,25	17,74	25,61	3,35	440,39	2224,91	375,08	1898,37	 	14,21	 	2,94	2,62	2,16	26,50	21,00	19,25	23,50	21,75	27,25	19,50	26,25	1,03	0,77	0,74	0,63	2009,46	-0,66	0,75	0,75
80	2	4	70,88	74,48	27,31	73,56	103,10	91,86	164,14	27,22	72,99	102,74	92,11	163,80	70,80	67,04	0,91	1,11	12,84	16,55	73,56	73,47	70,44	70,51	98,31	100,41	138,45	144,88	46,39	5,62	5,43	5,50	5,38	8,77	4,79	5,72	12,24	14,97	28,01	3,86	370,74	1846,87	357,21	1779,21	2,71	28,19	 	4,89	6,32	7,06	26,00	18,63	21,13	23,43	19,00	27,13	20,75	27,38	0,98	0,91	0,81	0,54	2009,46	-0,68	1,24	1,91
81	1	3	71,89	75,38	26,61	83,38	99,26	98,60	177,04	26,50	82,36	98,88	98,46	176,36	49,54	56,74	2,33	2,83	6,23	10,60	77,31	75,27	66,67	66,31	100,89	100,39	139,79	141,43	47,48	5,02	5,59	4,76	5,49	7,35	13,61	10,40	15,11	18,43	25,33	3,32	434,49	2174,22	390,25	1953,05	 	14,67	 	2,01	1,01	4,02	28,00	20,00	18,00	21,50	21,00	31,50	15,00	26,50	0,96	0,75	0,75	0,55	2009,37	-0,67	0,52	0,63
81	2	3	71,86	75,40	26,98	72,40	102,59	90,95	163,86	26,84	71,45	102,09	90,86	163,24	69,61	69,20	1,09	3,45	8,78	10,29	73,78	73,64	69,62	70,36	98,58	100,47	139,11	145,41	45,76	5,67	5,35	5,46	5,33	7,82	3,65	4,35	10,03	12,47	28,07	3,84	340,25	1736,67	337,72	1723,99	2,87	27,96	 	3,72	5,61	6,45	24,67	20,00	21,00	22,33	18,50	25,00	20,67	29,67	1,06	0,92	0,84	0,58	2009,39	-0,65	1,00	0,50
82	1	2	72,98	76,45	26,71	83,13	99,46	98,58	176,37	26,39	81,74	98,70	97,68	175,98	47,12	49,71	1,33	5,62	5,88	5,59	77,01	75,34	67,15	66,08	100,64	101,13	139,66	143,97	49,46	5,05	5,57	4,79	5,47	5,96	13,70	8,48	13,03	16,20	25,02	3,26	387,50	1987,41	344,88	1774,33	 	14,08	 	0,00	1,71	5,06	28,33	23,00	21,67	22,33	21,33	30,00	19,33	28,00	1,03	0,77	0,66	0,63	2009,41	-0,66	0,77	0,39
82	2	2	72,88	76,35	27,71	73,97	104,18	93,39	163,48	27,46	72,57	103,54	92,44	162,61	72,32	73,12	1,42	1,65	12,55	17,89	72,50	72,72	69,37	69,22	97,07	99,58	136,89	144,18	43,86	5,77	5,33	5,54	5,27	6,06	4,83	4,83	10,96	15,07	28,41	3,96	294,79	1503,37	293,35	1496,15	2,90	28,04	 	3,03	6,25	4,32	27,50	19,50	19,50	22,00	18,75	29,00	20,25	29,00	1,03	0,79	0,82	0,51	2009,41	-0,78	1,87	1,28
83	1	2	74,04	77,47	27,03	84,64	100,40	99,98	176,97	26,76	84,01	100,07	100,29	177,22	53,09	56,86	2,21	3,87	11,64	16,03	76,59	75,04	66,94	64,59	100,61	101,21	140,34	143,95	55,51	4,95	5,51	4,70	5,60	4,23	11,48	3,29	13,01	15,85	24,83	3,20	363,32	1859,92	341,19	1749,28	 	14,98	 	2,11	4,20	4,73	28,50	18,00	17,00	21,25	18,50	31,00	16,25	28,50	0,98	0,94	1,03	0,52	2009,50	-0,74	1,27	0,35
83	2	2	73,70	77,37	27,54	73,47	103,96	93,38	163,34	27,36	72,20	102,96	92,58	162,46	79,34	79,50	1,11	0,64	12,94	18,79	72,79	72,60	70,39	70,66	98,36	100,09	139,99	147,46	56,23	5,52	5,44	5,43	5,59	8,46	4,47	7,33	12,27	14,44	28,07	3,89	297,06	1488,36	290,06	1453,36	2,85	25,90	 	6,67	6,67	7,05	23,50	19,67	20,67	20,33	19,00	28,33	21,00	27,33	1,09	0,72	0,77	0,61	2009,36	-0,87	1,68	1,82
84	1	1	74,81	78,12	26,98	84,14	100,81	100,53	176,55	26,68	83,02	99,27	99,57	176,37	55,29	56,86	0,84	5,10	9,68	14,71	77,07	75,38	67,10	68,02	100,52	100,60	139,44	143,55	58,28	4,94	5,57	4,74	5,68	4,92	15,62	6,47	13,53	14,12	25,58	3,26	442,23	2226,92	422,95	2130,49	 	13,95	 	1,00	5,10	2,04	27,00	25,00	20,00	21,00	14,00	20,00	23,00	31,00	0,87	0,64	0,83	0,43	2009,26	-0,79	1,04	0,30
84	2	2	74,74	78,32	28,16	75,62	105,17	95,49	163,86	27,48	73,30	103,92	92,91	163,32	71,95	78,03	1,21	3,85	17,32	20,14	71,60	72,96	69,73	71,52	96,80	100,13	138,35	145,75	60,71	5,42	5,62	5,32	5,37	8,94	3,31	5,45	18,42	21,05	28,00	3,84	301,01	1490,63	298,33	1477,23	3,12	30,87	 	5,98	7,77	5,17	 	 	 	 	 	 	 	 	1,19	0,88	0,87	0,59	2009,28	-0,77	1,63	1,00
