ZIPCODE	GENDER_FEMALE	GENDER_MALE	GROUP_SIZE_CAT	AGE_CAT	AGE_T1	AGE_T2	BMI_T1	WEIGHT_T1	HIP_T1	HEIGHT_T1	WAIST_T1	BMI_T2	WEIGHT_T2	HIP_T2	HEIGHT_T2	WAIST_T2	EDUCATION_LOWER_T1	EDUCATION_LOWER_T2	WORK_T1	WORK_T2	LOW_QUALITY_OF_LIFE_T1	LOW_QUALITY_OF_LIFE_T2	DBP_T1	DBP_T2	HBF_T1	HBF_T2	MAP_T1	MAP_T2	SBP_T1	SBP_T2	HTN_MED_T1	CHO_T1	GLU_T1	CHO_T2	GLU_T2	RESPIRATORY_DISEASE_T1	PACKYEARS	SMOKING	METABOLIC_DISORDER_T1	METABOLIC_DISORDER_T2	LLDS	Quintile_LLDS	MWK_VAL	SCOR_VAL	MWK_NO_VAL	SCOR_NO_VAL	PREGNANCIES	OSTEOARTHRITIS_T1	SLEEP_QUALITY	DIAG_CFS_CDC	DIAG_FIBROMYALGIA_ACR	DIAG_IBS_ROME3	C_SUM_T1	A_SUM_T1	SC_SUM_T1	I_SUM_T1	E_SUM_T1	SD_SUM_T1	V_SUM_T1	D_SUM_T1	LTE_SUM_T1	LDI_SUM_T1	LTE_SUM_T2	LDI_SUM_T2	NSES_YEAR	NSES	MENTAL_DISORDER_T1	MENTAL_DISORDER_T2
8427	56,25	43,75	1	8	44,19	50,00	24,91	74,23	95,06	171,63	85,18	25,19	76,94	96,57	174,31	87,37	43,10	41,30	70,69	67,39	8,62	4,35	72,52	73,84	68,34	64,43	90,28	93,76	120,05	126,55	13,56	4,99	5,03	5,17	5,12	6,90	5,95	23,64	3,28	6,56	23,98	3,05	766,41	3876,94	349,49	1792,35	1,76	9,38	28,00	2,70	5,56	2,70	29,71	19,51	18,94	22,39	22,02	29,37	18,37	28,49	0,83	2,35	0,64	2,16	2010,00	0,22	1,48	1,74
8431	60,05	39,95	11	8	44,51	48,80	26,38	80,06	99,43	173,97	89,81	26,33	80,32	100,93	174,58	90,85	38,41	36,33	69,30	71,31	12,80	11,86	72,62	73,08	70,93	67,45	91,57	93,86	123,25	128,29	13,18	5,10	5,00	5,07	5,06	9,18	6,49	22,18	3,20	5,12	24,05	3,02	565,88	2955,54	270,19	1477,07	1,96	7,71	37,76	3,69	6,84	4,76	29,35	19,04	19,78	22,36	21,79	29,08	18,46	28,03	1,20	2,54	0,74	2,01	2009,99	-1,39	2,51	2,71
8432	53,76	46,24	1	8	43,74	48,32	25,11	77,52	96,75	175,18	86,91	25,94	79,87	99,72	175,49	90,52	24,72	21,88	77,01	78,13	5,62	10,94	72,44	72,44	68,70	67,79	91,05	92,18	121,90	124,51	7,61	5,01	4,91	5,10	4,98	3,37	7,41	26,74	1,10	2,20	21,61	2,51	556,07	2843,49	244,63	1286,32	2,40	5,38	32,08	1,82	1,82	5,45	29,98	19,01	19,48	21,87	22,17	29,80	17,95	28,19	1,04	2,37	0,84	2,19	2010,00	-0,48	0,96	1,57
8433	59,44	40,56	3	8	43,38	47,78	25,86	79,63	97,37	175,28	88,75	26,17	80,13	100,69	174,86	90,56	40,86	39,11	79,88	77,69	11,27	14,40	72,75	73,52	69,95	67,30	92,08	94,30	124,24	128,38	14,04	5,07	4,93	5,04	4,98	8,38	5,18	22,54	1,98	3,69	23,82	2,92	317,18	1644,54	221,86	1167,97	2,25	5,56	29,14	2,68	9,09	5,36	29,22	18,70	20,28	21,65	21,26	29,38	18,55	28,62	1,04	2,35	0,71	1,86	2009,99	-1,90	1,53	2,24
8434	56,96	43,04	1	7	38,97	42,19	25,50	77,68	96,65	173,70	88,12	25,43	78,15	98,57	175,07	89,54	33,57	32,69	77,70	82,69	10,71	9,62	71,70	71,52	71,48	66,06	90,64	91,02	121,44	122,95	5,96	4,98	4,98	4,90	4,94	4,32	7,20	24,44	4,49	7,05	23,46	2,84	671,27	3434,77	243,84	1297,61	2,19	6,37	24,42	5,21	7,29	4,17	29,58	18,48	19,45	22,11	21,95	29,44	18,28	28,67	1,21	2,46	0,94	2,13	2009,95	-0,63	1,63	1,23
8435	56,71	43,29	3	8	41,26	46,13	25,34	77,02	96,13	173,68	87,83	25,30	76,84	98,06	173,92	88,29	30,82	32,29	78,93	83,33	7,97	13,06	72,46	72,49	70,02	65,41	91,71	92,74	123,13	125,73	7,55	4,99	4,94	5,00	4,99	6,00	5,17	16,15	3,15	4,42	23,52	2,87	667,95	3392,52	214,11	1123,34	2,08	7,01	25,97	2,65	4,30	4,74	29,47	19,04	19,78	22,29	21,82	29,18	18,33	28,05	0,86	2,38	0,80	2,09	2009,95	-0,51	2,04	1,83
8441	57,01	42,99	5	8	42,49	47,54	25,41	77,57	98,36	174,21	88,64	25,25	76,65	98,40	173,89	87,24	24,95	25,55	75,05	80,18	8,70	11,01	70,89	72,52	73,30	71,68	90,28	92,38	121,12	125,49	11,83	5,05	5,00	5,15	5,02	9,96	5,57	22,83	2,00	3,60	23,50	2,88	541,63	2875,76	284,67	1590,94	1,71	6,36	33,33	4,40	7,82	8,74	29,74	18,35	19,04	22,34	22,77	29,32	17,79	28,27	1,15	2,68	0,81	2,22	2010,00	-0,71	1,77	2,04
8442	59,61	40,39	5	8	41,30	48,33	25,64	77,25	98,28	173,50	88,28	25,52	76,61	98,50	173,17	86,44	34,48	31,50	71,98	72,00	14,53	14,29	70,57	72,39	74,98	70,63	90,43	92,97	122,23	127,09	9,78	4,92	4,98	5,07	4,94	12,21	5,58	27,18	2,26	2,67	23,46	2,87	617,80	3216,32	289,76	1576,12	1,46	7,86	42,52	4,85	6,96	6,71	29,28	19,18	19,92	22,45	22,81	28,53	18,97	27,87	1,19	2,71	0,84	1,95	2009,98	-2,64	2,12	2,04
8443	59,94	40,06	3	8	44,93	50,35	25,70	78,53	98,74	174,55	89,16	25,74	78,75	99,53	174,72	88,48	30,62	29,01	68,60	70,63	8,11	9,88	71,54	73,35	73,87	70,75	91,70	94,49	123,69	129,97	14,74	5,07	5,05	5,03	5,00	11,15	4,76	15,93	3,51	4,15	24,54	3,11	641,62	3445,60	360,97	2042,34	1,85	5,64	36,15	2,68	6,12	2,68	29,87	18,60	19,63	22,13	22,49	29,55	18,16	28,42	1,07	2,40	0,76	1,90	2009,98	-0,57	1,82	1,39
8445	57,07	42,93	1	9	47,48	52,77	24,66	76,70	97,48	175,87	86,75	24,68	77,35	98,14	176,69	85,33	13,19	10,42	75,14	79,17	5,46	2,08	72,45	73,56	70,79	69,29	92,23	93,49	123,54	126,98	9,14	5,26	4,99	5,35	4,98	7,65	3,36	9,66	1,65	2,75	25,45	3,33	391,27	2153,64	306,07	1727,68	2,13	9,47	27,72	3,53	4,82	4,76	30,99	18,06	18,09	21,06	22,55	30,19	16,73	29,53	0,98	1,94	0,59	1,78	2009,92	2,63	1,41	2,09
8446	58,07	41,93	8	8	42,17	47,95	25,77	78,30	98,76	173,91	89,15	25,64	77,42	98,83	173,41	87,58	29,18	24,93	74,27	76,35	10,66	14,33	70,92	73,52	74,30	71,68	90,59	93,91	122,09	128,37	11,68	4,97	4,98	5,04	4,91	8,84	5,65	22,73	3,09	3,70	23,78	2,94	558,50	2954,65	284,69	1585,62	1,94	4,74	34,36	3,58	6,91	5,21	29,76	18,87	19,71	22,45	22,51	29,11	18,25	28,19	1,17	2,75	0,83	2,31	2009,99	-0,68	1,96	2,47
8447	59,01	40,99	4	8	41,26	46,67	25,06	76,96	97,85	174,66	87,46	25,39	78,08	99,25	175,02	87,75	22,91	22,94	77,07	79,22	10,41	11,21	70,25	73,79	73,92	71,33	89,52	94,11	120,32	128,40	9,95	5,02	4,95	5,09	4,89	10,19	5,76	18,52	1,40	2,33	23,88	2,99	458,99	2435,30	271,58	1498,24	1,65	4,05	36,02	4,17	6,35	7,29	29,80	18,93	19,71	22,29	22,40	28,87	18,59	28,59	1,06	2,74	0,68	2,59	2009,95	-0,27	2,09	1,94
8448	57,21	42,79	6	7	40,00	45,53	24,50	74,97	96,39	173,92	85,74	24,50	75,17	97,62	174,75	84,45	15,37	17,19	81,33	83,51	6,04	8,07	70,00	72,16	73,41	70,26	88,96	92,06	119,39	124,72	8,75	4,97	4,92	5,07	4,92	7,66	4,12	11,99	2,52	2,86	24,38	3,08	480,83	2645,04	293,41	1707,92	1,96	3,91	36,23	3,02	3,91	4,70	30,19	18,44	19,41	22,09	22,74	29,53	17,66	28,81	0,97	2,63	0,82	2,23	2009,99	1,58	1,70	1,33
8451	65,31	34,69	1	8	41,45	46,62	25,81	78,07	98,80	173,22	89,44	26,16	78,93	100,26	173,74	89,11	39,13	38,60	69,63	68,42	15,56	17,54	70,93	71,97	75,05	71,97	89,95	92,57	120,45	126,53	12,77	5,07	4,94	4,83	4,93	17,78	6,77	24,62	1,47	2,94	23,18	2,73	610,00	3078,46	288,25	1469,70	1,52	3,45	52,94	1,96	5,88	7,84	29,64	19,34	19,84	22,83	22,50	28,97	17,76	27,76	1,24	2,92	0,86	2,14	2009,95	-1,11	2,83	2,05
8453	56,77	43,23	1	8	42,81	47,58	24,06	73,87	94,99	173,89	85,57	24,43	74,34	96,66	173,79	84,57	17,65	11,11	81,20	80,56	4,51	9,72	71,40	72,78	74,18	70,08	90,46	91,89	120,87	123,70	8,61	5,11	5,01	5,01	5,00	6,87	5,81	18,05	1,97	5,26	24,64	3,14	491,78	2637,59	317,49	1766,12	1,94	7,14	33,33	1,54	4,69	6,15	30,25	18,13	19,52	22,31	22,25	30,17	17,48	29,01	0,94	2,71	0,86	1,93	2010,00	1,58	1,49	1,30
8454	56,82	43,18	1	9	47,14	51,17	24,82	76,95	96,90	175,43	88,61	24,37	76,03	97,47	176,26	87,46	36,59	39,47	69,23	66,67	11,25	17,95	73,13	75,88	73,41	69,63	94,39	97,27	127,38	133,58	15,48	5,25	5,06	5,18	5,27	13,75	6,33	19,75	5,68	5,68	24,27	2,97	561,72	2919,01	294,37	1582,25	2,14	11,49	26,67	0,00	6,45	3,03	29,58	19,07	19,57	21,71	21,54	29,50	18,72	28,63	1,09	1,91	0,76	1,82	2010,00	0,75	2,15	2,23
8456	55,26	44,74	1	8	42,30	48,84	25,08	76,82	96,77	173,93	87,47	25,26	76,56	98,61	173,61	86,56	20,86	26,92	82,86	76,92	4,29	6,41	69,95	73,52	74,80	71,29	89,63	94,38	121,06	129,64	7,28	5,01	5,00	5,15	5,00	5,04	4,47	14,49	0,67	1,34	24,38	3,04	514,29	2710,79	318,03	1729,49	2,04	4,61	29,31	0,00	1,52	6,06	29,45	18,41	19,45	21,95	22,00	29,52	18,29	27,93	0,92	2,51	0,67	2,14	2010,00	0,49	1,23	1,84
8458	57,65	42,35	1	8	45,33	52,30	25,42	78,51	98,44	175,42	88,38	24,85	76,28	97,56	174,89	86,16	33,33	39,62	80,72	77,78	7,14	12,96	70,61	72,84	72,20	67,81	89,44	93,42	119,74	127,82	9,41	5,06	4,83	4,99	4,82	4,76	4,88	19,23	1,25	5,00	24,45	3,09	652,66	3325,51	302,97	1577,08	2,09	8,24	32,61	2,22	2,33	2,27	29,21	18,97	19,45	22,77	22,65	28,61	18,38	27,69	0,94	2,17	0,63	1,98	2009,95	0,05	2,22	2,14
