ZIPCODE	GENDER	GROUP_SIZE_CAT	AGE_CAT	AGE_T1	AGE_T2	BMI_T1	WEIGHT_T1	HIP_T1	WAIST_T1	HEIGHT_T1	BMI_T2	WEIGHT_T2	HIP_T2	WAIST_T2	HEIGHT_T2	EDUCATION_LOWER_T1	EDUCATION_LOWER_T2	WORK_T1	WORK_T2	LOW_QUALITY_OF_LIFE_T1	LOW_QUALITY_OF_LIFE_T2	DBP_T1	DBP_T2	HBF_T1	HBF_T2	MAP_T1	MAP_T2	SBP_T1	SBP_T2	HTN_MED_T1	CHO_T1	GLU_T1	CHO_T2	GLU_T2	RESPIRATORY_DISEASE_T1	PACKYEARS	SMOKING	METABOLIC_DISORDER_T1	METABOLIC_DISORDER_T2	LLDS	Quintile_LLDS	MWK_VAL	SCOR_VAL	MWK_NO_VAL	SCOR_NO_VAL	PREGNANCIES	OSTEOARTHRITIS_T1	SLEEP_QUALITY	DIAG_CFS_CDC	DIAG_FIBROMYALGIA_ACR	DIAG_IBS_ROME3	C_SUM_T1	A_SUM_T1	SC_SUM_T1	I_SUM_T1	E_SUM_T1	SD_SUM_T1	V_SUM_T1	D_SUM_T1	LTE_SUM_T1	LDI_SUM_T1	LTE_SUM_T2	LDI_SUM_T2	NSES_YEAR	NSES	MENTAL_DISORDER_T1	MENTAL_DISORDER_T2
9288	1	1	8	42,70	47,85	27,00	89,63	98,09	96,67	182,33	26,89	89,51	99,47	97,06	182,37	39,13	50,00	83,04	73,85	13,16	10,61	75,77	74,57	71,33	67,79	95,40	95,04	129,12	130,21	9,65	5,16	5,24	5,16	5,57	10,53	7,19	25,89	5,36	8,93	20,95	2,28	745,06	3925,20	218,78	1293,82	 	4,35	27,87	0,00	3,57	3,51	29,30	19,77	18,89	22,34	23,55	29,04	18,54	27,91	1,14	2,10	0,55	1,36	2009,97	-1,02	1,25	0,27
9288	2	1	8	42,13	47,14	25,93	73,44	99,08	86,86	168,24	26,32	74,12	101,58	86,60	167,68	37,32	37,33	74,65	78,67	14,08	14,86	70,77	69,70	71,48	66,07	89,87	90,48	120,48	123,53	5,59	4,97	4,80	5,17	4,78	12,68	5,58	26,28	1,45	1,45	23,00	2,73	399,65	2062,56	199,80	1063,31	2,06	4,90	25,71	10,00	17,14	7,14	29,20	19,09	20,61	22,05	20,78	29,19	19,04	28,47	1,10	2,75	0,77	2,05	2009,94	-1,02	1,31	1,74
9289	1	1	8	42,63	49,65	25,94	85,40	95,67	93,38	180,90	25,82	83,85	97,00	93,42	180,12	40,26	53,49	80,82	76,74	4,05	9,30	75,94	76,40	69,74	66,53	96,17	96,17	130,62	129,43	11,84	5,18	5,08	5,29	5,05	13,70	6,49	22,37	1,28	2,56	21,19	2,39	540,95	2828,46	205,85	1152,92	 	2,50	27,78	0,00	0,00	0,00	29,89	19,54	19,70	21,97	23,64	30,29	17,36	29,14	0,65	1,71	0,51	1,29	2009,95	-0,93	0,75	0,00
9289	2	1	7	40,82	45,02	25,27	72,05	96,78	84,82	168,58	25,35	71,93	99,43	84,27	168,37	36,92	37,68	70,87	65,71	11,72	7,14	71,92	69,32	70,71	67,98	90,32	89,44	120,73	120,79	12,03	5,11	4,69	5,17	4,80	9,45	5,07	25,20	0,00	0,78	23,29	2,89	352,86	1854,78	208,23	1131,64	2,47	6,02	29,03	1,45	7,46	4,35	28,59	19,52	22,11	22,40	21,97	28,42	19,68	27,91	1,07	2,60	0,71	1,81	2009,91	-0,94	2,22	1,93
9291	1	2	8	42,84	48,02	25,77	85,31	96,18	92,82	181,68	25,85	85,91	98,16	94,24	182,24	32,02	30,41	81,12	81,76	7,20	8,78	74,74	76,47	69,14	65,45	94,80	97,25	128,51	132,02	12,45	5,05	5,09	5,02	5,15	9,24	7,40	27,46	3,14	3,92	21,53	2,42	758,74	3930,07	208,64	1179,58	 	5,32	26,14	0,76	3,85	3,82	30,00	19,08	19,00	22,05	23,24	29,98	17,52	28,31	1,09	2,16	0,64	1,75	2009,95	-1,03	1,43	1,55
9291	2	3	8	42,36	48,42	25,50	73,35	98,36	85,50	169,45	25,55	73,72	100,94	86,18	169,76	29,43	33,15	70,10	71,89	10,86	9,68	70,68	71,85	71,98	69,49	89,97	92,92	120,90	127,20	10,09	4,99	4,81	5,08	4,81	5,11	5,13	20,13	1,25	1,57	23,66	2,92	503,64	2532,79	220,91	1119,13	2,14	5,47	42,19	1,85	8,64	6,75	29,37	18,51	20,53	22,40	20,98	28,80	19,27	28,98	1,07	2,78	0,84	1,90	2009,96	-1,03	1,78	1,74
9294	2	1	8	43,63	48,82	25,13	71,84	98,71	84,28	169,20	26,23	75,01	103,47	86,14	169,15	32,20	27,78	74,14	69,44	6,90	11,11	69,69	70,87	70,22	67,64	88,98	92,69	119,63	127,95	10,53	4,87	4,81	5,30	4,77	10,34	3,49	12,50	0,00	1,82	24,69	3,13	540,67	2877,50	247,71	1412,69	2,15	3,39	16,67	0,00	6,25	3,03	29,20	19,23	20,09	21,72	20,92	29,02	18,87	28,49	1,20	2,65	0,97	2,44	2010,00	-0,79	2,71	2,23
9298	1	1	8	43,32	47,26	26,08	86,05	97,28	94,51	181,40	26,57	87,61	98,89	96,09	181,41	40,91	36,56	80,67	84,04	11,26	18,28	74,29	76,20	69,74	66,84	94,49	97,25	128,59	132,52	11,69	5,14	5,13	5,04	5,17	7,95	7,74	25,00	0,67	3,36	21,36	2,44	832,06	4293,32	195,71	1111,57	 	3,23	35,62	2,44	4,94	1,23	30,29	19,37	18,93	21,45	23,56	29,89	17,26	28,99	1,00	2,05	0,71	2,10	2010,00	-1,07	0,95	1,78
9298	2	1	8	42,50	46,25	26,05	73,46	98,64	87,16	167,75	26,60	75,05	101,47	87,46	167,91	48,04	44,12	70,93	74,51	8,67	7,84	70,93	71,42	71,06	67,95	90,04	92,31	120,75	125,92	11,05	4,90	4,89	5,02	4,94	14,04	5,40	24,12	2,23	3,91	24,16	3,03	409,75	2070,26	214,51	1094,08	2,30	4,81	40,00	1,14	8,05	3,41	29,34	19,17	19,92	22,76	20,70	29,22	19,21	28,01	1,06	2,53	0,91	2,19	2010,00	-1,07	1,32	1,47
9301	1	2	9	46,76	52,10	26,22	86,73	97,52	94,82	181,40	26,46	87,13	99,62	96,32	181,40	27,71	25,50	75,85	68,67	13,33	9,33	75,27	76,46	69,43	66,73	94,52	98,37	126,05	132,82	20,87	5,13	5,17	5,05	5,18	9,58	10,02	22,73	3,91	4,30	22,50	2,67	454,81	2439,47	260,99	1470,33	 	9,13	29,17	2,52	4,13	5,00	29,96	18,57	18,97	21,80	23,49	29,54	17,26	28,72	1,05	2,06	0,59	1,64	2009,95	-0,91	1,59	1,61
